Detailed Statistics Arrivals  ,,,,,
Destination Airport: Dallas,,,,,
Airline: Southwest Airlines Co. (WN),,,,,
Month(s): January,,,,,
Day(s): 14,,,,,
Year(s): 2021,,,,,
DATA SET #2,,,,,
Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Actual Arrival Time
WN,5/14/2021,1585,N914WN,PHX,23:40
WN,5/14/2021,1619,N407WN,ELP,8:36
WN,5/14/2021,1632,N8510E,TPA,8:05
WN,5/14/2021,1641,N7847A,BWI,19:32
WN,5/14/2021,1650,N8525S,PHX,10:11
WN,5/14/2021,1659,N7728D,PNS,18:21
WN,5/14/2021,1670,N758SW,TPA,16:38
WN,5/14/2021,1671,N758SW,IAH,20:18
WN,5/14/2021,1673,N8670A,PHX,21:24
WN,5/14/2021,1688,N231WN,ONT,14:04
WN,5/14/2021,1697,N8718Q,MDW,16:44
WN,5/14/2021,1712,N8518R,ATL,20:25
WN,5/14/2021,1726,N728SW,SAT,19:57
WN,5/14/2021,1748,N8520Q,MCO,19:40
WN,5/14/2021,1754,N8705Q,MDW,18:37
WN,5/14/2021,1848,N461WN,OMA,17:43
WN,5/14/2021,1860,N266WN,DEN,10:16
WN,5/14/2021,1861,N266WN,TUL,14:07
WN,5/14/2021,1869,N8669B,SMF,18:15
WN,5/14/2021,1874,N267WN,LAS,20:50
WN,5/14/2021,1890,N8606C,LAS,23:36
WN,5/14/2021,1906,N762SW,MCI,14:49
WN,5/14/2021,1923,N716SW,MCI,20:33
WN,5/14/2021,1948,N247WN,SLC,9:31
WN,5/14/2021,1949,N8600F,MCO,8:17
WN,5/14/2021,1991,N8537Z,STL,15:31
WN,5/14/2021,2004,N8564Z,STL,7:02
WN,5/14/2021,2063,N8582Z,BWI,21:06
WN,5/14/2021,2065,N7867A,TUL,20:03
WN,5/14/2021,2069,N7844A,BNA,13:24
WN,5/14/2021,2082,N409WN,DEN,11:37
WN,5/14/2021,2089,N8639B,ABQ,16:26
WN,5/14/2021,2104,N949WN,TUL,8:11
WN,5/14/2021,2119,N418WN,BWI,16:13
WN,5/14/2021,2128,N8686A,ATL,10:15
WN,5/14/2021,2150,N929WN,STL,20:29
WN,5/14/2021,2154,N413WN,MCO,21:46
WN,5/14/2021,2158,N785SW,MCO,14:21
WN,5/14/2021,2164,N457WN,AUS,7:30
WN,5/14/2021,2171,N8554X,OAK,11:23
WN,5/14/2021,2185,N275WN,BNA,21:24
WN,5/14/2021,2188,N8724J,MCI,7:54
WN,5/14/2021,2190,N727SW,DEN,21:50
WN,5/14/2021,2194,N762SW,LBB,18:47
WN,5/14/2021,2195,N268WN,LGA,19:25
WN,5/14/2021,2196,N757LV,ABQ,9:13
WN,5/14/2021,2203,N8633A,SAN,18:02
WN,5/14/2021,2208,N8668A,MDW,21:22
WN,5/14/2021,2214,N757LV,LAS,17:54
WN,5/14/2021,2234,N729SW,MAF,18:20
WN,5/14/2021,2241,N7734H,MAF,8:40
WN,5/14/2021,2242,N7729A,BNA,23:52
WN,5/14/2021,2244,N8503A,PHX,19:27
WN,5/14/2021,2245,N902WN,IAH,10:34
WN,5/14/2021,3644,N717SA,PHX,11:58
WN,5/14/2021,3693,N8638A,DEN,22:50
WN,5/14/2021,5226,N8723Q,VPS,14:11
,,,,,
 SOURCE: Bureau of Transportation Statistics,,,,,
